epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,19249.7,1.2374,0.86353,1.15835,0.70248,0.83236,0.77872,0.50554,1.25884,0.94546,1.19332,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,19844.8,1.23631,0.86098,1.16229,0.69961,0.83444,0.7779,0.5048,1.25829,0.92894,1.19342,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,20437.5,1.22527,0.8458,1.15376,0.70148,0.83423,0.77804,0.50556,1.25733,0.91494,1.19254,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,21039.1,1.22124,0.84169,1.15218,0.70273,0.83388,0.77806,0.50584,1.25628,0.91103,1.19137,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,21641.3,1.2081,0.82841,1.14706,0.70379,0.83463,0.77865,0.50611,1.25534,0.90765,1.19068,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,22244.2,1.19815,0.81678,1.1388,0.70456,0.83516,0.77911,0.507,1.2549,0.90183,1.19042,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,22845.2,1.19448,0.81411,1.13973,0.70494,0.83481,0.77942,0.50767,1.25412,0.90015,1.18967,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,23453,1.19714,0.80878,1.13887,0.7031,0.83637,0.77942,0.50826,1.25339,0.8978,1.18925,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,24063.1,1.18233,0.79521,1.1334,0.70392,0.83648,0.77932,0.50852,1.25214,0.89486,1.18847,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,24670.1,1.17595,0.70786,1.13725,0.70619,0.83619,0.77945,0.50923,1.25143,0.88976,1.18808,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,25276,1.15919,0.68947,1.12728,0.70723,0.83627,0.77937,0.50963,1.25047,0.88342,1.18745,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,25880.1,1.14637,0.67738,1.11996,0.70814,0.83654,0.77964,0.50979,1.24952,0.87612,1.18668,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,26484.8,1.13654,0.6677,1.11527,0.70706,0.83768,0.78002,0.51041,1.2484,0.86874,1.18587,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,27089.7,1.12616,0.6601,1.10972,0.7073,0.83826,0.78,0.51073,1.24735,0.86193,1.18512,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,27694.1,1.11487,0.64904,1.10611,0.70595,0.84078,0.78011,0.51076,1.24673,0.85479,1.18472,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,28300.5,1.10339,0.63824,1.0989,0.70781,0.83939,0.77941,0.51056,1.2462,0.84778,1.18438,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,28907.4,1.09451,0.62938,1.09571,0.70842,0.83986,0.77925,0.51037,1.24589,0.84122,1.18434,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,29514.1,1.08314,0.62218,1.08805,0.70858,0.84054,0.77931,0.51084,1.24555,0.83428,1.1841,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,30119.4,1.07662,0.61391,1.08587,0.70902,0.84077,0.77896,0.51075,1.24512,0.82831,1.18382,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
